Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,62,Closet Buddy,11/3/2025,5/7/2026,134 day,0,,,,<p><br></p>
2,1,1. Requirement Analysis and Planning,11/3/2025,11/20/2025,14 day,0,,,,
3,2,1.1 Identify needs and requirements,11/3/2025,11/4/2025,2 day,0,,,,<p><br></p>
3,64,M1 Topic Finalization,11/4/2025,11/4/2025,0 day,0,2FS,,121,<p><br></p>
3,3,1.2 Define Functional and Non-functional requirements,11/5/2025,11/10/2025,4 day,0,64FS,,,<p><br></p>
3,4,1.3 Identify External Dependencies,11/11/2025,11/14/2025,4 day,0,3FS,,,
3,65,1.4 Prepare Datasets,11/17/2025,11/20/2025,4 day,0,4FS,,,<p><br></p>
2,6,2. System and Architecture Design,11/17/2025,12/8/2025,16 day,0,,,,
3,7,2.1 Establish architecture,11/21/2025,11/26/2025,4 day,0,65FS,,,<p><br></p>
3,8,2.2 Design Database Schema,11/27/2025,12/4/2025,6 day,0,7FS,,,
3,9,2.3 Data Flow Diagrams and Use Cases,11/17/2025,11/25/2025,7 day,0,,,,<p><br></p>
3,66,M2 Proposal Submission,12/8/2025,12/8/2025,0 day,0,9FS+9 days,,91,<p><br></p>
2,63,Increment Development,12/9/2025,3/20/2026,74 day,0,,,,<p><br></p>
3,10,3. Increment 1 (Authentication),12/9/2025,12/19/2025,9 day,0,,,,
4,11,3.1 Planning and Research,12/9/2025,12/9/2025,1 day,0,66FS,,,<p><br></p>
4,12,3.2 Determine Objectives,12/10/2025,12/10/2025,1 day,0,11FS,,,
4,13,3.3 Analysis and Design,12/11/2025,12/11/2025,1 day,0,12FS,,,<p><br></p>
4,14,3.4 Implement Authentication,12/12/2025,12/16/2025,3 day,0,13FS,,,
4,15,3.5 Testing,12/17/2025,12/18/2025,2 day,0,14FS,,,
4,16,3.6 Evaluation,12/19/2025,12/19/2025,1 day,0,15FS,,,
3,17,4. Increment 2 (Segmentation and Color Extraction),12/22/2025,12/31/2025,8 day,0,,,,
4,18,4.1 Planning and Research,12/22/2025,12/22/2025,1 day,0,16FS,,,<p><br></p>
4,19,4.2 Determine Objectives,12/23/2025,12/23/2025,1 day,0,18FS,,,<p><br></p>
4,20,4.3 Analysis and Design,12/24/2025,12/24/2025,1 day,0,19FS,,,
4,21,4.4 Implement Segmentation,12/25/2025,12/26/2025,2 day,0,20FS,,,
4,22,4.5 Segmentation Preview + Fallback,12/29/2025,12/29/2025,1 day,0,21FS,,,
4,77,4.6 Color Extraction,12/30/2025,12/30/2025,1 day,0,22FS,,,<p><br></p>
4,23,4.7 Testing,12/31/2025,12/31/2025,1 day,0,77FS,,,
4,24,4.8 Evaluation,12/31/2025,12/31/2025,1 day,0,23FS-1 days,,,
3,67,M3 Authentication and Segmentation functional,1/1/2026,1/1/2026,0 day,0,24FS+1 day,,121,<p><br></p>
3,25,5 Increment 3 (Classification),1/2/2026,1/15/2026,10 day,0,,,,
4,26,5.1 Planning and Research,1/2/2026,1/2/2026,1 day,0,67FS,,,<p><br></p>
4,27,5.2 Determine Objectives,1/5/2026,1/5/2026,1 day,0,26FS,,,
4,28,5.3 Analysis and Design,1/6/2026,1/6/2026,1 day,0,27FS,,,
4,29,5.4 Implement Clothing Type Categorization,1/7/2026,1/9/2026,3 day,0,28FS,,,
4,31,5.5 Testing,1/12/2026,1/13/2026,2 day,0,29FS,,,
4,32,5.6 Evaluation,1/14/2026,1/14/2026,1 day,0,31FS,,,
4,68,M4 Classification and meta data extraction successful,1/15/2026,1/15/2026,0 day,0,32FS+1 day,,121,<p><br></p>
3,33,6 Increment 4 (Storage System),1/16/2026,1/29/2026,10 day,0,,,,
4,34,6.1 Planning and Research,1/16/2026,1/16/2026,1 day,0,68FS,,,
4,35,6.2 Analysis and Design,1/19/2026,1/19/2026,1 day,0,34FS,,,
4,36,6.3 Implement Virtual Closet Model,1/20/2026,1/22/2026,3 day,0,35FS,,,
4,37,6.4 Flutter UI for Storage,1/23/2026,1/27/2026,3 day,0,36FS,,,
4,38,6.5 Testing,1/28/2026,1/28/2026,1 day,0,37FS,,,
4,39,6.6 Evaluation,1/28/2026,1/28/2026,1 day,0,38FS-1 days,,,
4,69,M5 Completed the storage interface,1/29/2026,1/29/2026,0 day,0,39FS+1 day,,121,<p><br></p>
3,40,7 Increment 5 (Recommendation + Weather),1/30/2026,2/19/2026,15 day,0,,,,
4,41,7.1 Planning and Research,1/30/2026,1/30/2026,1 day,0,69FS,,,<p><br></p>
4,42,7.2 Analysis and Design,2/2/2026,2/2/2026,1 day,0,41FS,,,
4,43,7.3 Develop Hybrid Recommendation Engine,2/3/2026,2/9/2026,5 day,0,42FS,,,
4,70,M6 Recommendation engine functional,2/10/2026,2/10/2026,0 day,0,43FS+1 day,,151,<p><br></p>
4,44,7.4 Weather Integration,2/11/2026,2/12/2026,2 day,0,70FS,,,
4,45,7.5 Develop Rating AI,2/13/2026,2/16/2026,2 day,0,44FS,,,
4,46,7.6 Testing,2/17/2026,2/18/2026,2 day,0,45FS,,,
4,47,7.7 Evaluation,2/19/2026,2/19/2026,1 day,0,46FS,,,
4,71,M7 Weather Integration and AI rating completed,2/19/2026,2/19/2026,0 day,0,47FS,,121,<p><br></p>
3,48,8 Increment 6 (Final Integration),2/20/2026,3/20/2026,21 day,0,,,,
4,49,8.1 Planning and System Design,2/20/2026,2/24/2026,3 day,0,71FS,,,<p><br></p>
4,50,8.2 Integrate Flutter with Backend + AI,2/25/2026,3/12/2026,12 day,0,49FS,,,
4,51,8.3 Testing,3/13/2026,3/18/2026,4 day,0,50FS,,,
4,52,8.4 Evaluation,3/19/2026,3/20/2026,2 day,0,51FS,,,
4,72,M8 Backend Frontend Integration Completed,3/20/2026,3/20/2026,0 day,0,52FS,,121,<p><br></p>
2,74,Buffer,2/16/2026,3/16/2026,21 day,0,,,,<p><br></p>
2,53,9 Testing and Evaluation (Full System),3/9/2026,3/31/2026,17 day,0,,,,
3,54,9.1 Final System Testing,3/9/2026,3/17/2026,7 day,0,,,,<p><br></p>
3,55,9.2 Integration Testing,3/18/2026,3/25/2026,6 day,0,54FS,,,
3,56,9.3 Performance Testing,3/26/2026,3/31/2026,4 day,0,55FS,,,
3,73,M9 Testing Phase Done,3/31/2026,3/31/2026,0 day,0,56FS,,91,<p><br></p>
2,58,10 Maintenance & Iteration,4/1/2026,5/7/2026,27 day,0,,,,
3,59,10.1 Fix Bugs and Improve Accuracy,4/1/2026,4/6/2026,4 day,0,73FS,,,<p><br></p>
3,60,10.2 Optimize based on Feedback,4/7/2026,4/10/2026,4 day,0,59FS,,,
3,61,10.3 Finalize Documentation,4/13/2026,4/20/2026,6 day,0,60FS,,,
3,76,M11 Final Report Submission ,5/7/2026,5/7/2026,0 day,0,61FS+13 days,,151,<p><br></p>
